ensembl_transcript_id,symbol,cv,mean_expression,UTR5_length,UTR5_GC,UTR5_AUG_count,kozak_sequence_present,TOP_motif_present,G_quadruplex_present,UTR3_length,UTR3_GC,polyA_signal_present,ARE_motifs_present,miRNA_seed_matches,GC3_content,CAI,stability_category
ENSCGRT00001000001,ENSCGRG00001000001,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011964,ENSCGRG00001010256,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011960,U6-ENSCGRG00001010253,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,0.0,0.0,0
ENSCGRT00001011959,ENSCGRG00001010251,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011949,Or11m3,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,71.01910828025477,0.6677324638398625,0
ENSCGRT00001011948,U6-ENSCGRG00001010243,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,0.0,0.0,0
ENSCGRT00001011942,U6-ENSCGRG00001010237,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,0.0,0.0,0
ENSCGRT00001011940,ENSCGRG00001010236,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011936,Foxb1,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,82.82208588957054,0.7164598627811732,0
ENSCGRT00001011934,ENSCGRG00001010222,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,50.0,0.7794743682637753,0
ENSCGRT00001011933,ENSCGRG00001010224,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011931,ENSCGRG00001010219,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011930,U6-ENSCGRG00001010220,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,0.0,0.0,0
ENSCGRT00001011926,Serpina10,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,64.2369020501139,0.7451596512258674,0
ENSCGRT00001011915,U6-ENSCGRG00001010210,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,0.0,0.0,0
ENSCGRT00001011913,ENSCGRG00001010208,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011912,ENSCGRG00001010207,1.3638032907490898e-16,0.00010000000000000009,0,,0,False,False,False,0,,False,False,0,0.0,0.0,0
ENSCGRT00001011910,Oosp1,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,40.20100502512563,0.7615007548918753,0
ENSCGRT00001011903,U6-ENSCGRG00001010204,1.3638032907490898e-16,0.00010000000000000009,19,28.57142857142857,0,False,False,False,19,28.57142857142857,False,False,0,0.0,0.0,0
