index,UTR5_length_z,UTR3_length_z,GC3_content_z,CAI_z,mean_abs_z,reference_similarity,UTR5_length,UTR3_length,GC3_content,CAI,similarity_percentile
8881,-0.26666666666666666,-0.08666666666666667,-0.18954248366013077,-0.560480504495966,0.2758390803723575,0.7837979063222823,112,787,64.05228758169935,0.7219759747752017,100.0
7284,0.23333333333333334,0.3466666666666667,0.1707317073170742,0.7025864818479644,0.36332954729125966,0.7334983694784997,127,852,65.85365853658537,0.7851293240923982,99.98976772741226
7575,-0.2,-0.20666666666666667,-1.0628272251308915,-0.2471093897515031,0.4291508203872653,0.6997162131069022,114,769,59.68586387434554,0.7376445305124248,99.97953545482451
7858,-1.0666666666666667,0.20666666666666667,0.25925925925926097,-0.2640035822008402,0.4491490436983586,0.6900601455374874,88,831,66.2962962962963,0.736799820889958,99.96930318223679
9221,0.6333333333333333,-1.3533333333333333,-0.15909090909090934,0.15036510242966816,0.574030669546811,0.6353116361372528,139,597,64.20454545454545,0.7575182551214834,99.95907090964903
8592,-1.5,-0.24,0.1355252606254993,-0.5144239153105667,0.5974872939840166,0.6259830696406186,75,764,65.6776263031275,0.7242788042344717,99.94883863706129
7552,-1.4333333333333333,0.05333333333333334,-0.6009501187648467,-0.3306980630949341,0.6045787121316119,0.6232165442800522,77,808,61.995249406175766,0.7334650968452533,99.93860636447354
9194,-1.0333333333333334,-0.6533333333333333,-0.5892857142857139,-0.3085976769262744,0.6461375144696637,0.6074826624203203,89,702,62.05357142857143,0.7345701161536863,99.92837409188581
9740,0.5666666666666667,-0.56,-1.070175438596492,-0.39588944323312614,0.6481828871240711,0.6067287846586666,137,716,59.64912280701754,0.7302055278383437,99.91814181929807
9174,-0.36666666666666664,1.3,-0.30337078651685373,-0.687812450341927,0.6644624758813619,0.6007945594991456,109,995,63.48314606741573,0.7156093774829037,99.90790954671033
7515,-0.3333333333333333,0.92,-1.0711743772241988,-0.38612981055908824,0.6776593802791552,0.5960685534590486,110,938,59.644128113879006,0.7306935094720456,99.89767727412259
8752,0.1,1.6533333333333333,-0.5702075702075703,-0.43772852015518726,0.6903173559240228,0.5916048820627199,123,1048,62.14896214896215,0.7281135739922406,99.88744500153484
7765,0.2,-0.9,-1.3464566929133865,-0.48357209765515385,0.7325071976421351,0.5771981792404415,126,665,58.26771653543307,0.7258213951172423,99.8772127289471
8057,0.03333333333333333,-2.2733333333333334,-0.5,-0.2326187595775342,0.7598213565610502,0.5682394956009326,121,459,62.5,0.7383690620211233,99.86698045635936
7532,0.4,0.6066666666666667,-2.1061452513966485,0.0007652302870209127,0.7783942870875841,0.5623050002244812,132,891,54.46927374301676,0.750038261514351,99.85674818377161
8655,-1.8666666666666667,0.07333333333333333,-0.9738562091503269,0.3038892436315499,0.8044363631954692,0.5541896740703585,64,811,60.130718954248366,0.7651944621815775,99.84651591118387
8094,-0.9333333333333333,0.5666666666666667,-1.63849765258216,-0.09299657293654784,0.807873556379677,0.5531360290498032,92,885,56.8075117370892,0.7453501713531726,99.83628363859613
9414,-1.0333333333333334,-1.3933333333333333,0.20547945205479437,-0.6005614411990079,0.8081768899801173,0.553043236832319,89,591,66.02739726027397,0.7199719279400496,99.8260513660084
7235,1.2,1.4133333333333333,-0.35999999999999943,-0.283053916447511,0.8140968124452109,0.5512384968319887,156,1012,63.2,0.7358473041776245,99.81581909342064
9533,0.03333333333333333,-0.2866666666666667,-2.7155361050328226,0.26119640303731817,0.8241831270175352,0.5481905764773513,121,757,51.42231947483589,0.7630598201518659,99.8055868208329
8267,1.6333333333333333,0.02666666666666667,-1.3276450511945384,0.39780834929859843,0.8463633501232841,0.5416052045948749,169,804,58.36177474402731,0.7698904174649299,99.79535454824516
7592,-0.2,0.24666666666666667,-2.805194805194806,-0.24969649644491554,0.8753894920765971,0.533222567485281,114,837,50.97402597402597,0.7375151751777542,99.78512227565743
8438,0.36666666666666664,1.9933333333333334,-0.7528089887640433,0.43944360568527685,0.88806314861233,0.529643301779906,131,1099,61.23595505617978,0.7719721802842638,99.77489000306969
8804,1.1,0.9666666666666667,-1.2452830188679243,0.27435702871835277,0.896576678563236,0.5272657896213069,153,945,58.77358490566038,0.7637178514359176,99.76465773048194
8070,0.8,-0.72,-1.501920614596672,-0.5989496196324429,0.9052175585572787,0.5248744404587828,144,692,57.49039692701664,0.7200525190183779,99.7544254578942
7721,0.36666666666666664,-1.6266666666666667,-1.424242424242425,-0.3501127880295507,0.9419221364013273,0.5149537055348418,131,556,57.878787878787875,0.7324943605985225,99.74419318530646
7225,1.5666666666666667,1.1533333333333333,-0.7777777777777771,0.38209123107939336,0.9699672522142926,0.5076226515318846,167,973,61.111111111111114,0.7691045615539697,99.73396091271871
8309,0.9333333333333333,1.9533333333333334,-0.9314040728831727,0.0792795637541932,0.9743375758260082,0.5064989960400402,148,1093,60.342979635584136,0.7539639781877097,99.72372864013097
8332,0.5666666666666667,-1.2066666666666668,0.9393939393939406,1.2823531493307172,0.9987701055144977,0.500307662817777,137,619,69.6969696969697,0.8141176574665359,99.71349636754323
7977,0.6333333333333333,-2.38,-0.1767810026385206,-0.8136031992687598,1.0009293838101534,0.4997677619665958,139,443,64.1160949868074,0.709319840036562,99.70326409495549
7513,-0.26666666666666666,-2.8733333333333335,-0.8534031413612567,-0.04980432764874143,1.0108018672524994,0.4973140398792103,112,369,60.73298429319372,0.7475097836175629,99.69303182236774
8105,-2.2,-0.8466666666666667,0.007159904534606199,-1.020561433881828,1.0185970012707752,0.49539358245874043,54,673,65.03579952267303,0.6989719283059086,99.68279954978001
8360,0.13333333333333333,-2.6733333333333333,-1.1575246132208163,-0.1147133073726625,1.0197261468150365,0.49511662834930786,124,399,59.21237693389592,0.7442643346313669,99.67256727719227
9507,2.066666666666667,0.7,-1.2432432432432434,-0.12169952507478987,1.032902358746175,0.4919075408111416,182,905,58.78378378378378,0.7439150237462605,99.66233500460451
8782,-2.066666666666667,1.34,-0.23247232472324697,-0.5464128844585203,1.0463879689621085,0.48866589090981716,58,1001,63.837638376383765,0.722679355777074,99.65210273201677
8135,0.4666666666666667,-3.22,-0.039106145251398064,-0.4804542938260892,1.0515567764360385,0.4874347185931644,134,317,64.80446927374301,0.7259772853086955,99.64187045942904
8789,0.8,-2.533333333333333,0.40909090909090934,-0.4852463235150384,1.0569176414848203,0.4861643363018333,144,420,67.04545454545455,0.7257376838242481,99.6316381868413
9498,0.5333333333333333,1.0933333333333333,1.8529411764705883,-0.8160477129978982,1.0739138890337883,0.48218009691129854,136,964,74.26470588235294,0.7091976143501051,99.62140591425356
7354,0.4,-1.62,-2.090909090909092,0.1934293750478,1.076084616489223,0.48167593558448346,132,557,54.54545454545454,0.75967146875239,99.61117364166581
9016,2.5,0.7266666666666667,0.3732236350037397,-0.70450100773785,1.076097827352064,0.4816728705291498,195,909,66.8661181750187,0.7147749496131075,99.60094136907807
9302,-0.16666666666666666,-2.0,-1.9192886456908353,-0.22172683470884635,1.076920536766587,0.48148207035249907,115,500,55.40355677154582,0.7389136582645577,99.59070909649033
8021,-2.0,-0.7666666666666667,-1.514851485148516,0.05967329213557804,1.0852978609876902,0.4795477992416658,60,685,57.42574257425742,0.7529836646067789,99.58047682390259
9349,-0.5333333333333333,-1.3466666666666667,-2.2520775623268703,-0.21846256332722636,1.0876350314135241,0.47901093100689474,104,598,53.73961218836565,0.7390768718336387,99.57024455131484
9196,0.43333333333333335,-3.466666666666667,0.2163742690058484,-0.2377394111490294,1.0885284200387195,0.47880602935796335,133,280,66.08187134502924,0.7381130294425485,99.5600122787271
9344,-1.5,0.18666666666666668,-2.389830508474577,0.3365410912381317,1.103259566594844,0.47545249092530695,75,828,53.050847457627114,0.7668270545619066,99.54978000613937
8720,0.8666666666666667,0.36666666666666664,-2.937629937629937,0.26812771186304873,1.1097727457065796,0.47398469907956464,146,855,50.311850311850314,0.7634063855931524,99.53954773355163
9352,1.2,-2.7266666666666666,-0.4885844748858446,-0.060446756506566945,1.1189244745147695,0.4719375381366523,156,391,62.55707762557078,0.7469776621746717,99.52931546096389
